Project Name,Project URL,Category URL
Treehouse ETHTETH,https://coinmarketcap.com/currencies/treehouse-eth/,https://coinmarketcap.com/view/rehypothecated-crypto/
Staked TRXSTRX,https://coinmarketcap.com/currencies/staked-trx/,https://coinmarketcap.com/view/rehypothecated-crypto/
Universal BTCUNIBTC,https://coinmarketcap.com/currencies/universal-btc/,https://coinmarketcap.com/view/rehypothecated-crypto/
crvUSDCRVUSD,https://coinmarketcap.com/currencies/crvusd/,https://coinmarketcap.com/view/rehypothecated-crypto/
Frax Staked Ether,https://coinmarketcap.com/currencies/frax-staked-ether/,https://coinmarketcap.com/view/rehypothecated-crypto/
Rootstock BitcoinrBTC,https://coinmarketcap.com/currencies/rsk-smart-bitcoin/,https://coinmarketcap.com/view/rehypothecated-crypto/
Beacon ETHBETH,https://coinmarketcap.com/currencies/beacon-eth/,https://coinmarketcap.com/view/rehypothecated-crypto/
Venus USDTvUSDT,https://coinmarketcap.com/currencies/venus-usdt/,https://coinmarketcap.com/view/rehypothecated-crypto/
Bitcoin Avalanche BridgedBTC.b,https://coinmarketcap.com/currencies/bitcoin-avalanche-bridged/,https://coinmarketcap.com/view/rehypothecated-crypto/
Staked AavestkAAVE,https://coinmarketcap.com/currencies/staked-aave/,https://coinmarketcap.com/view/rehypothecated-crypto/
Sanctum InfinityINF,https://coinmarketcap.com/currencies/sanctum-infinity/,https://coinmarketcap.com/view/rehypothecated-crypto/
Wrapped Centrifuge,https://coinmarketcap.com/currencies/wrapped-centrifuge/,https://coinmarketcap.com/view/rehypothecated-crypto/
Renzo Restaked,https://coinmarketcap.com/currencies/renzo-restaked-eth/,https://coinmarketcap.com/view/rehypothecated-crypto/
Aster as,https://coinmarketcap.com/currencies/asbnb/,https://coinmarketcap.com/view/rehypothecated-crypto/
Wrapped SolanaSOL,https://coinmarketcap.com/currencies/wrapped-solana/,https://coinmarketcap.com/view/rehypothecated-crypto/
Wrapped AVAXWAVAX,https://coinmarketcap.com/currencies/wavax/,https://coinmarketcap.com/view/rehypothecated-crypto/
Bybit Staked,https://coinmarketcap.com/currencies/bybit-staked-sol/,https://coinmarketcap.com/view/rehypothecated-crypto/
JPool Staked SOL (JSOL),https://coinmarketcap.com/currencies/jpool/,https://coinmarketcap.com/view/rehypothecated-crypto/
Wrapped FantomWFTM,https://coinmarketcap.com/currencies/wrapped-fantom/,https://coinmarketcap.com/view/rehypothecated-crypto/
Coinbase Wrapped,https://coinmarketcap.com/currencies/coinbase-wrapped-xrp/,https://coinmarketcap.com/view/rehypothecated-crypto/
Huobi BTCHBTC,https://coinmarketcap.com/currencies/huobi-btc/,https://coinmarketcap.com/view/rehypothecated-crypto/
BlazeStake Staked,https://coinmarketcap.com/currencies/blazestake-staked-sol/,https://coinmarketcap.com/view/rehypothecated-crypto/
Crypto.com Staked,https://coinmarketcap.com/currencies/crypto-com-staked-eth/,https://coinmarketcap.com/view/rehypothecated-crypto/
Wrapped PulseWPLS,https://coinmarketcap.com/currencies/wrapped-pulse/,https://coinmarketcap.com/view/rehypothecated-crypto/
Mantle Restaked,https://coinmarketcap.com/currencies/mantle-restaked-ether/,https://coinmarketcap.com/view/rehypothecated-crypto/
Lorenzo staked USD1+SUSD1+,https://coinmarketcap.com/currencies/lorenzo-staked-usd1/,https://coinmarketcap.com/view/rehypothecated-crypto/
xSolvBTCxSolvBTC,https://coinmarketcap.com/currencies/xsolvbtc/,https://coinmarketcap.com/view/rehypothecated-crypto/
Edgevana Staked,https://coinmarketcap.com/currencies/edgevana-staked-sol/,https://coinmarketcap.com/view/rehypothecated-crypto/
Wrapped peaq,https://coinmarketcap.com/currencies/wrapped-peaq/,https://coinmarketcap.com/view/rehypothecated-crypto/
ether.fi Staked,https://coinmarketcap.com/currencies/etherfi-ebtc/,https://coinmarketcap.com/view/rehypothecated-crypto/
Staked USDTSTUSDT,https://coinmarketcap.com/currencies/staked-usdt/,https://coinmarketcap.com/view/rehypothecated-crypto/
Haedal Staked,https://coinmarketcap.com/currencies/haedal-staked-sui/,https://coinmarketcap.com/view/rehypothecated-crypto/
pufETHPUFETH,https://coinmarketcap.com/currencies/pufeth/,https://coinmarketcap.com/view/rehypothecated-crypto/
Venus USDCvUSDC,https://coinmarketcap.com/currencies/venus-usdc/,https://coinmarketcap.com/view/rehypothecated-crypto/
Wrapped CROWCRO,https://coinmarketcap.com/currencies/wrapped-cro/,https://coinmarketcap.com/view/rehypothecated-crypto/
Staked Frax,https://coinmarketcap.com/currencies/staked-frax-usd/,https://coinmarketcap.com/view/rehypothecated-crypto/
Venus ETHvETH,https://coinmarketcap.com/currencies/venus-eth/,https://coinmarketcap.com/view/rehypothecated-crypto/
Volo Staked,https://coinmarketcap.com/currencies/volo-staked-sui/,https://coinmarketcap.com/view/rehypothecated-crypto/
swETHSWETH,https://coinmarketcap.com/currencies/swell-sweth/,https://coinmarketcap.com/view/rehypothecated-crypto/
Wrapped TAOWTAO,https://coinmarketcap.com/currencies/wrapped-tao/,https://coinmarketcap.com/view/rehypothecated-crypto/
Restaked Swell Ethereum,https://coinmarketcap.com/currencies/restaked-swell-ethereum/,https://coinmarketcap.com/view/rehypothecated-crypto/
DeFi Pulse,https://coinmarketcap.com/currencies/defi-pulse-index/,https://coinmarketcap.com/view/rehypothecated-crypto/
Wrapped Rootstock Bitcoin,https://coinmarketcap.com/currencies/wrapped-rsk-smart-bitcoin/,https://coinmarketcap.com/view/rehypothecated-crypto/
Wrapped HBARWHBAR,https://coinmarketcap.com/currencies/wrapped-hedera/,https://coinmarketcap.com/view/rehypothecated-crypto/
Wrapped MaticWMATIC,https://coinmarketcap.com/currencies/wmatic/,https://coinmarketcap.com/view/rehypothecated-crypto/
Wrapped NXMWNXM,https://coinmarketcap.com/currencies/wrapped-nxm/,https://coinmarketcap.com/view/rehypothecated-crypto/
Universal ETHUNIETH,https://coinmarketcap.com/currencies/universal-eth/,https://coinmarketcap.com/view/rehypothecated-crypto/
Amnis Staked Aptos coin,https://coinmarketcap.com/currencies/amnis-staked-aptos-coin/,https://coinmarketcap.com/view/rehypothecated-crypto/
Wrapped BeraWBERA,https://coinmarketcap.com/currencies/wbera/,https://coinmarketcap.com/view/rehypothecated-crypto/
OpenEden Compounding Open,https://coinmarketcap.com/currencies/openeden-compounding-opendollar/,https://coinmarketcap.com/view/rehypothecated-crypto/
PEAQ50,https://coinmarketcap.com/currencies/peaq/,https://coinmarketcap.com/view/rehypothecated-crypto/
BEAT30,https://coinmarketcap.com/currencies/audiera/,https://coinmarketcap.com/view/rehypothecated-crypto/
